Name 	 Score 	 Formula 																										
conservation of energy 	0	 {\displaystyle PV=nRT} 																										
conservation of energy 	0	 {\displaystyle i\hbar {\frac {\partial \Psi }{\partial t}}=(c{\hat {\boldsymbol {\alpha }}}\cdot {\hat {\boldsymbol {p}}}+mc^{2}{\hat {\beta }})\Psi } 																										
conservation of energy 	0	 {\displaystyle \mathbb {R} ^{2}} 																										
conservation of energy 	0	 {\displaystyle X=\{X_{1},\ldots ,X_{n}\}isasetofvariables} 																										
conservation of energy 	0	 {\displaystyle M=(A,m)	m\colon A\to \mathbb {N} } 																									
conservation of energy 	0	 {\displaystyle a^{*}=1+aa^{*}=1+a^{*}a} 																										
conservation of energy 	0	 {\displaystyle A=\{0\}} 																										
conservation of energy 	0	 {\displaystyle z(t)=A\mathrm {e} ^{-\zeta \omega _{0}t}\sin \left({\sqrt {1-\zeta ^{2}}}\omega _{0}t+\varphi \right)} 																										
conservation of energy 	0	 {\displaystyle U=(X,\Phi )} 																										
conservation of energy 	0	 {\displaystyle x:x=n+{1 \over x}} 																										
conservation of energy 	0	 {\displaystyle R={\frac {V}{I}}} 																										
conservation of energy 	0	 {\displaystyle {P_{1}}{T_{2}}={P_{2}}{T_{1}}} 																										
conservation of energy 	0	 {\displaystyle f(X,x_{0})\to (Y,y_{0})} 																										
conservation of energy 	0	 {\displaystyle {\boldsymbol {v}}={\frac {\mathrm {d} {\boldsymbol {r}}}{\mathrm {d} t}}} 																										
conservation of energy 	0	 {\displaystyle {\boldsymbol {V}}=(V,\oplus ,\odot )} 																										
conservation of energy 	0	 {\displaystyle {\frac {P_{1}}{T_{1}}}={\frac {P_{2}}{T_{2}}}} 																										
conservation of energy 	0	 {\displaystyle \lim _{x\to \infty }f(x)=L:\iff \forall \epsilon &gt	0\exists n_{0}\forall n&gt	n_{0}:|f(n)-L|&lt	\epsilon } 																							
conservation of energy 	0	 {\displaystyle MA={\frac {F_{B}}{F_{A}}}={\frac {a}{b}}} 																										
conservation of energy 	0	 {\displaystyle A=2\pi r(r+h)=\pi d(r+h)=L+2B} 																										
conservation of energy 	0	 {\displaystyle \Delta (mc)\Delta r\geq \hbar /2} 																										
conservation of energy 	0	 {\displaystyle i\gamma ^{a}e_{a}^{\mu }D_{\mu }\Psi -m\Psi =0} 																										
conservation of energy 	0	 {\displaystyle \operatorname {\hat {H}} \Psi =E\Psi } 																										
conservation of energy 	0	 {\displaystyle \sec ^{-2}x+\csc ^{-2}x=1} 																										
conservation of energy 	0	 {\displaystyle W=\int _{\theta _{1}}^{\theta _{2}}\tau \ \mathrm {d} \theta } 																										
conservation of energy 	0	 {\displaystyle B{\text{ codomain of }}f\quad \Leftrightarrow \quad f:A\rightarrow B} 																										
conservation of energy 	0	 {\displaystyle P(A)=\sum _{i=0}^{n}a_{i}A^{i}=a_{0}I+a_{1}A+\cdots +a_{n}A^{n}} 																										
conservation of energy 	2	 {\displaystyle E_{tot,1}=E_{tot,2}} 																										
conservation of energy 	0	 {\displaystyle {\vec {F}}_{g}=-{\frac {Gm_{1}m_{2}}{r^{2}}}{\hat {r}}} 																										
conservation of energy 	0	 {\displaystyle {\begin{aligned}\forall x\in {\mathfrak {g}}\colon \	0&amp	Fehler:507	0&amp	Fehler:507																						
conservation of energy 	0	 {\displaystyle S={\frac {c^{3}kA}{4\hbar G}}} 																										
conservation of energy 	1	 {\displaystyle E=mc^{2}} 																										
conservation of energy 	0	 {\displaystyle \left(M,g\in \Gamma ^{\infty }(\operatorname {Sym} ^{2}\mathrm {T} ^{*}M)\right)} 																										
conservation of energy 	0	 {\displaystyle \gamma ={\frac {1}{\sqrt {1-v^{2}/c^{2}}}}} 																										
conservation of energy 	0	 {\displaystyle \sin ^{2}x+\cos ^{2}x=1} 																										
conservation of energy 	0	 {\displaystyle 10^{30}+666*10^{14}+1} 																										
conservation of energy 	0	 {\displaystyle {\vec {F}}_{e}={\frac {q_{1}q_{2}}{4\pi \epsilon _{0}r^{2}}}{\hat {r}}} 																										
conservation of energy 	0	 {\displaystyle {\frac {n^{2}-1}{n^{2}+2}}={\frac {4\pi }{3}}N\alpha } 																										
conservation of energy 	0	 {\displaystyle p^{\mu }={\begin{matrix}p_{0}\\p_{1}\\p_{2}\\p_{3}\end{matrix}}={\begin{matrix}E/c\\p_{x}\\p_{y}\\p_{z}\end{matrix}}={\begin{matrix}E/c\\{\vec {p}}\end{matrix}}} 																										
conservation of energy 	0	 {\displaystyle {\begin{aligned}f\colon X&amp	\rightarrow Y\\x&amp	\mapsto f(x)\end{aligned}}} 																								
conservation of energy 	0	 {\displaystyle (G,*)} 																										
conservation of energy 	0	 {\displaystyle rR^{2}-gG^{2}=\mathrm {constant} } 																										
conservation of energy 	0	 {\displaystyle \left\{{\vec {x}}:||{\vec {x}}-{\vec {x_{0}}}||^{2}&lt	r^{2}\right\}} 																									
conservation of energy 	0	 {\displaystyle {\frac {\mathrm {d} }{\mathrm {d} t}}\left({\frac {\partial L}{\partial {\dot {q}}_{j}}}\right)={\frac {\partial L}{\partial q_{j}}}} 																										
conservation of energy 	0	 {\displaystyle K={\frac {\Phi _{\mathrm {v} }}{\Phi _{\mathrm {e} }}}={\frac {\int _{0}^{\infty }K(\lambda )\Phi _{\mathrm {e} ,\lambda }\,\mathrm {d} \lambda }{\int _{0}^{\infty }\Phi _{\mathrm {e} ,\lambda }\,\mathrm {d} \lambda }}} 																										
conservation of energy 	0	 {\displaystyle \Delta P=\	C\,a\	h\	{\bigg (}{\frac {1}{T_{o}}}-{\frac {1}{T_{i}}}{\bigg )}} 																							
conservation of energy 	0	 {\displaystyle MMF_{AlNiCo}=H_{C-AlNiCo}\cdot L_{AlNiCo}} 																										
conservation of energy 	0	 {\displaystyle {\vec {F}}=-{\frac {mv^{2}{\hat {r}}}{r}}} 																										
conservation of energy 	0	 {\displaystyle {P}\propto {T}} 																										
conservation of energy 	0	 {\displaystyle {\vec {A}}+{\vec {B}}={\vec {C}}} 																										
conservation of energy 	0	 {\displaystyle \mathrm {Ro} ={fL^{2} \over \nu }} 																										
conservation of energy 	0	 {\displaystyle \alpha ={\frac {dv_{\perp }}{dt}}} 																										
conservation of energy 	0	 {\displaystyle \cot(x)=1/\tan(x)} 																										
conservation of energy 	0	 {\displaystyle \mathrm {PH} =\bigcup _{k\in \mathbb {N} }\Delta _{k}^{\mathrm {P} }} 																										
conservation of energy 	0	 {\displaystyle {\begin{aligned}J&amp	Fehler:539	Fehler:539																								
conservation of energy 	0	 {\displaystyle M/{\sim }=\{[a]_{\sim }\mid a\in M\}} 																										
conservation of energy 	0	 {\displaystyle \operatorname {IsLeap} (y)={\begin{cases}{\mathsf {true}}&amp	y\equiv 0{\pmod {400}}\\{\mathsf {false}}&amp	y\equiv 0{\pmod {100}},\	y\not \equiv 0{\pmod {400}}\\{\mathsf {true}}&amp	y\equiv 0{\pmod {4}},\	y\not \equiv 0{\pmod {100}}\\{\mathsf {false}}&amp	y\not \equiv 0{\pmod {4}}\end{cases}}} 																				
conservation of energy 	0	 {\displaystyle \mathbf {n} \cdot (\mathbf {r} -\mathbf {r} _{0})=0} 																										
conservation of energy 	0	 {\displaystyle {\underline {Y}}=1/{\underline {Z}}} 																										
conservation of energy 	0	 {\displaystyle \tau (n)=\sum _{d|n}1} 																										
conservation of energy 	0	 {\displaystyle P(A)} 																										
conservation of energy 	0	 {\displaystyle i\hbar {\frac {\partial }{\partial t}}\Psi (\mathbf {r} ,t)={\hat {H}}\Psi (\mathbf {r} ,t)} 																										
conservation of energy 	0	 {\displaystyle {\boldsymbol {\tau }}=\mathbf {r} \times \mathbf {F} } 																										
conservation of energy 	0	 {\displaystyle x^{2}+y^{2}+z^{2}=r^{2}} 																										
conservation of energy 	0	 {\displaystyle {\frac {z}{c}}={\frac {x^{2}}{a^{2}}}+{\frac {y^{2}}{b^{2}}}} 																										
conservation of energy 	0	 {\displaystyle {\frac {P}{T}}=k} 																										
conservation of energy 	0	 {\displaystyle f={\frac {a-b}{a}}} 																										
conservation of energy 	0	 {\displaystyle \omega ={\frac {d\phi }{dt}}={\frac {v_{\perp }}{r}}} 																										
conservation of energy 	0	 {\displaystyle \mathbf {F} _{12}=-\mathbf {F} _{21}} 																										
conservation of energy 	0	 {\displaystyle {PAR}={\frac {DAR}{SAR}}} 																										
conservation of energy 	0	 {\displaystyle n'_{i}=\sum _{j}w_{ij}n_{j}} 																										
conservation of energy 	0	 {\displaystyle \nabla \cdot \mathbf {B} =0} 																										
conservation of energy 	0	 {\displaystyle {\frac {d^{2}\theta }{dt^{2}}}+{\frac {g}{l}}\sin \theta =0} 																										
conservation of energy 	0	 {\displaystyle d:X\times X\to [0,\infty )} 																										
conservation of energy 	0	 {\displaystyle \left\{{\vec {x}}:||{\vec {x}}-{\vec {x_{0}}}||^{2}\leq r^{2}\right\}} 																										
conservation of energy 	0	 {\displaystyle |x-y|=2^{-\nu (x-y)}} 																										
conservation of energy 	0	 {\displaystyle U=-{\frac {GMm}{r}}} 																										
conservation of energy 	0	 {\displaystyle (M,J\colon \mathrm {T} M\to \mathrm {T} M):J^{2}=-1} 																										
conservation of energy 	0	 {\displaystyle \operatorname {GL} _{n}(\mathbb {K} )=\{A\in \mathbb {K} ^{n\times n}|\det(A)\neq 0\}} 																										
conservation of energy 	0	 {\displaystyle gT_{p}M\times T_{p}M\to \mathbb {R} } 																										
conservation of energy 	0	 {\displaystyle {\begin{aligned}x&amp	Fehler:533	Fehler:539																								
conservation of energy 	0	 {\displaystyle C_{n}} 																										
conservation of energy 	0	 {\displaystyle {\begin{aligned}(r+s)+t&amp	Fehler:509	Fehler:509	Fehler:509	Fehler:509	Fehler:509	Fehler:509	Fehler:509	Fehler:539																		
conservation of energy 	0	 {\displaystyle AB^{2}+CH^{2}=AC^{2}+BH^{2}=BC^{2}+AH^{2}=4R^{2}} 																										
conservation of energy 	0	 {\displaystyle \mathrm {E} _{g}(f	N)={1 \over N}\sum _{i}^{N}{f(x_{i})}/g(x_{i})} 																									
conservation of energy 	0	 {\displaystyle F(h(z))=(F(z))^{n}} 																										
conservation of energy 	0	 {\displaystyle \lim g_{n}=g\Rightarrow \left\{F_{n}(x_{n},g_{n}(x_{n}))=0\right\}_{n\in \mathbb {N} }{\text{ is convergent}}} 																										
conservation of energy 	0	 {\displaystyle d\left(x,y\right)\leq d(x,z)+d(z,y)} 																										
conservation of energy 	0	 {\displaystyle W(2,k)&gt	2^{k}/k^{\varepsilon }} 																									
conservation of energy 	0	 {\displaystyle F_{d}=6\pi \,\mu \,R\,V} 																										
conservation of energy 	0	 {\displaystyle \mathop {K_{n}^{\mathrm {Aff} }} \nolimits \!\left(q^{-x}	p,N	q\right):=\mathop {{}_{3}\phi _{2}} \nolimits \!\left({q^{-n},0,q^{-x} \atop pq,q^{-N}}	q,q\right)} 																							
conservation of energy 	0	 {\displaystyle f_{c}(z)=z^{2}+c} 																										
conservation of energy 	0	 {\displaystyle v={\frac {s}{t}}} 																										
conservation of energy 	0	 {\displaystyle R_{h}={\frac {A}{P}}} 																										
conservation of energy 	0	 {\displaystyle E_{C}={\frac {P_{1}^{A}+P_{2}^{B}}{Q_{1}^{B}+Q_{2}^{B}}}\times {\frac {\Delta Q^{B}}{\Delta P_{A}}}} 																										
conservation of energy 	0	 {\displaystyle {\begin{aligned}x&amp	Fehler:509	Fehler:533																								
conservation of energy 	0	 {\displaystyle {\vec {F}}=m\cdot {\vec {a}}} 																										
conservation of energy 	0	 {\displaystyle \tau (n)\equiv \sigma _{0}(n)=\prod _{i=1}^{r}~(a_{i}+1)} 																										
conservation of energy 	0	 {\displaystyle F=CAnI/l} 																										
conservation of energy 	0	 {\displaystyle V\propto T} 																										
conservation of energy 	0	 {\displaystyle F_{\mathrm {R} }=6\pi \cdot r\cdot \eta \cdot v} 																										
conservation of energy 	0	 {\displaystyle {\frac {\mathrm {d} \rho }{\mathrm {d} t}}={\frac {\partial \rho }{\partial t}}+\sum _{i=1}^{n}\left({\frac {\partial \rho }{\partial q_{i}}}{\dot {q}}_{i}+{\frac {\partial \rho }{\partial p_{i}}}{\dot {p}}_{i}\right)=0} 																										
conservation of energy 	0	 {\displaystyle \psi (t)\approx e^{-\omega ^{\prime \prime }t}\cos \omega ^{\prime }t} 																										
conservation of energy 	0	 {\displaystyle {\underline {Z}}={\underline {U}}/{\underline {I}}} 																										
conservation of energy 	0	 {\displaystyle {\tilde {H}}_{q}(Y)={\begin{cases}\mathbb {Z} ,\quad q=n-k\\0,\quad {\text{otherwise}}.\end{cases}}} 																										
conservation of energy 	0	 {\displaystyle {\frac {a}{b}}\in \mathbb {Q} \Leftrightarrow a\in \mathbb {Z} ,b\in \mathbb {N} } 																										
conservation of energy 	0	 {\displaystyle \mathbf {v} =\mathbf {v} _{\parallel }+\mathbf {v} _{\perp }} 																										
conservation of energy 	0	 {\displaystyle E_{\mathrm {r} }={\tfrac {1}{2}}I\omega ^{2}} 																										
conservation of energy 	0	 {\displaystyle {\begin{aligned}\forall \varepsilon &gt	0,\exists n_{0}\in \mathbb {N} ,\exists \delta _{n_{0},\varepsilon }&gt	0{\text{ such that }}\\\forall n&gt	n_{0},\forall l_{n}:\lVert l_{n}\rVert &lt	\delta _{n_{0},\varepsilon }\\\Rightarrow \lVert g(x)-g_{n}(x+l_{n})\rVert &lt	\varepsilon \end{aligned}}} 																					
conservation of energy 	0	 {\displaystyle {\vec {g}}=-{\frac {GM}{{R}^{2}}}{\vec {r}}} 																										
conservation of energy 	0	 {\displaystyle {\boldsymbol {S}}=(S,*)} 																										
conservation of energy 	0	 {\displaystyle {\vec {F}}=q({\vec {E}}+{\vec {v}}\times {\vec {B}})} 																										
conservation of energy 	0	 {\displaystyle A={\overline {A^{\text{T}}}}} 																										
conservation of energy 	0	 {\displaystyle \{x:f(x)=0\}} 																										
conservation of energy 	0	 {\displaystyle {\mathcal {L}}=T-V} 																										
conservation of energy 	0	 {\displaystyle P={\boldsymbol {\tau }}\cdot {\boldsymbol {\omega }}} 																										
conservation of energy 	0	 {\displaystyle \forall x:(x\in S)\veebar \neg (x\in S)} 																										
conservation of energy 	0	 {\displaystyle \mathbf {U} \equiv {\frac {d\mathbf {R} }{d\tau }}} 																										
conservation of energy 	0	 {\displaystyle H=[0,1]^{n}} 																										
conservation of energy 	0	 {\displaystyle {\begin{aligned}{\tilde {y}}_{i+1}&amp	Fehler:539	Fehler:539																								
conservation of energy 	0	 {\displaystyle t'=\gamma \left(t-{\frac {vx}{c^{2}}}\right),x'=\gamma \left(x-vt\right)} 																										
conservation of energy 	0	 {\displaystyle r={\sqrt[{n}]{x}}\iff r\in \mathbb {R} _{\geq 0}\wedge r^{n}=x} 																										
conservation of energy 	0	 {\displaystyle U=(X,(\{(a,b)\in X\times X|P_{n}(a,b)\})_{n})} 																										
conservation of energy 	0	 {\displaystyle \,{}_{p}F_{q}(a_{1},\ldots ,a_{p}	b_{1},\ldots ,b_{q}	z)=\sum _{n=0}^{\infty }{\frac {(a_{1})_{n}\cdots (a_{p})_{n}}{(b_{1})_{n}\cdots (b_{q})_{n}}}\,{\frac {z^{n}}{n!}}} 																								
conservation of energy 	0	 {\displaystyle \operatorname {score} (\mathbf {X} _{i},k)={\boldsymbol {\beta }}_{k}\cdot \mathbf {X} _{i}} 																										
conservation of energy 	0	 {\displaystyle \sigma =E\varepsilon } 																										
conservation of energy 	0	 {\displaystyle T:\mathbf {v} \mapsto \lambda \mathbf {v} } 																										
conservation of energy 	0	 {\displaystyle T=KP_{pre}d} 																										
conservation of energy 	0	 {\displaystyle v=\omega r} 																										
conservation of energy 	0	 {\displaystyle \varepsilon _{0}={\frac {1}{\mu _{0}c_{0}^{2}}}} 																										
conservation of energy 	0	 {\displaystyle {\frac {1}{299,\!792,\!458}}\cdot c} 																										
conservation of energy 	0	 {\displaystyle {\boldsymbol {E}}={\frac {\boldsymbol {F}}{q}}} 																										
conservation of energy 	0	 {\displaystyle {\boldsymbol {F}}_{\mathrm {g} }=m{\boldsymbol {g}}} 																										
conservation of energy 	0	 {\displaystyle P={\frac {\mathrm {d} E}{\mathrm {d} t}}} 																										
conservation of energy 	0	 {\displaystyle \rho ={\frac {\mathrm {d} m}{\mathrm {d} V}}} 																										
conservation of energy 	0	 {\displaystyle {\vec {g}}=-{\frac {GM}{{R}^{2}}}{\vec {r}}} 																										
conservation of energy 	0	 {\displaystyle {\boldsymbol {F}}=q\,{\boldsymbol {v}}\times {\boldsymbol {B}}} 																										
conservation of energy 	0	 {\displaystyle p={\frac {{\boldsymbol {e}}_{\mathrm {n} }\cdot {\boldsymbol {F}}}{A}}} 																										
conservation of energy 	0	 {\displaystyle {\boldsymbol {p}}=m{\boldsymbol {v}}} 																										
conservation of energy 	0	 {\displaystyle A=\int _{\Gamma }{\boldsymbol {F}}\cdot \mathrm {d} {\boldsymbol {r}}} 																										
conservation of energy 	0	 {\displaystyle S=k\ln {W}} 																										
conservation of energy 	0	 {\displaystyle T={\frac {1}{2}}mv^{2}} 																										
conservation of energy 	0	 {\displaystyle M=m/n} 																										
conservation of energy 	0	 {\displaystyle V=-\int \mathbf {F} \cdot \mathrm {d} \mathbf {r} } 																										
conservation of energy 	0	 {\displaystyle C=Q/U} 																										
conservation of energy 	0	 {\displaystyle J_{\mathrm {Q} }=\int r_{\mathrm {Q} }^{2}\mathrm {d} m} 																										
conservation of energy 	0	 {\displaystyle \gamma ={\frac {\mathrm {d} F}{\mathrm {d} l}}} 																										
conservation of energy 	0	 {\displaystyle \mathbf {F} =q(\mathbf {E} +\mathbf {v} \times \mathbf {B} )} 																										
conservation of energy 	0	 {\displaystyle b_{\mathrm {B} }=n_{\mathrm {B} }/m_{\mathrm {A} }} 																										
conservation of energy 	0	 {\displaystyle n={\frac {c_{0}}{c}}} 																										
conservation of energy 	0	 {\displaystyle \sigma ={\frac {dF}{dA}}} 																										
conservation of energy 	0	 {\displaystyle D={\frac {\mathrm {d} {\bar {\varepsilon }}}{\mathrm {d} m}}} 																										
conservation of energy 	0	 {\displaystyle X={\frac {\mathrm {d} q}{\mathrm {d} m}}} 																										
conservation of energy 	0	 {\displaystyle {\boldsymbol {D}}=\varepsilon _{0}{\boldsymbol {E}}+{\boldsymbol {P}}} 																										
