Name 	Score	 Formula 	 Mode(new) 	 Mode(old) 	 Identifiers 
centripetal force	0	x=a+r\,\cos t,\, (Circle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r^{2}-2rr_{0}\cos(\theta-\phi)+r_{0}^{2}=a^{2}\, (Circle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r=2a\cos(\theta-\phi).\, (Circle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	(x_{1}-a)(x-a)+(y_{1}-b)(y-b)=r^{2}.\! (Circle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	dr=a\cos\alpha d\alpha (Cross_section_(physics).html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\alpha=\frac{E_{a}}{RT} (Dimensionless_quantity.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	D(p)=(-1)^{\frac{1}{2}n(n-1)}\frac{1}{a_{n}}R(p,p^{\prime}).\, (Discriminant.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''n'', ''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	Y=\pm b\sqrt{1-(X/a)^{2}}=\pm\sqrt{(a^{2}-X^{2})(1-e^{2})} (Ellipse.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	r(\theta)=\frac{a(1-e^{2})}{1\pm e\cos\theta} (Ellipse.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	a=\frac{27(R\,T_{c})^{2}}{64p_{c}} (Equation_of_state.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	a=\frac{0.42748\,R^{2}\,T_{c}^{\,2.5}}{p_{c}} (Equation_of_state.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	a=\frac{0.427\,R^{2}\,T_{c}^{2}}{P_{c}} (Equation_of_state.html)	8	3	'{''force'': [''a''], ''mass'': [''P'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	a=\frac{0.457235\,R^{2}\,T_{c}^{2}}{p_{c}} (Equation_of_state.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	B=b-\frac{a}{RT}. (Equation_of_state.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	'e^{(a_{1}i_{1}+a_{2}i_{2}+\dots+a_{7}i_{7})\pi}+1=0.\, (Euler''s_identity.html)'	8	3	'{''force'': [''a''], ''mass'': [''i'', ''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	r_{\text{e}}={\alpha\lambda_{\text{e}}\over 2\pi}=\alpha^{2}a_{0} (Fine-structure_constant.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\scriptstyle|\zeta|\leq\|(1,\|a\|_{p})\|_{q}=R_{p} (Fundamental_theorem_of_algebra.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	e_{i}=\sum_{j}[\mathbf{O}]_{ij}a_{j} (Geometric_algebra.html)	8	3	'{''force'': [''a''], ''mass'': [''i'', ''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	\displaystyle\text{Let }s=a+ar+ar^{2}+ar^{3}+\cdots+ar^{n-1}. (Geometric_series.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''n'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	'\rho=\rho_{m}(a)+\rho_{de}(a), (Hubble''s_law.html)'	8	3	'{''force'': [''a''], ''mass'': [''m'', ''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	'\rho_{de}(a)=\rho_{de0}a^{-3\left(1+w\right)} (Hubble''s_law.html)'	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	'\rho_{de}(a)=\rho_{de0}e^{-3\int\frac{da}{a}\left(1+w(a)\right)}, (Hubble''s_law.html)'	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	r=-e(-ae+r\cos\theta)-a\,\! (Hyperbola.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	r=\frac{a(e^{2}-1)}{1+e\cos\theta} (Hyperbola.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	v_{a}=-C_{R}u_{a} (Inelastic_collision.html)	8	3	'{''force'': [''a''], ''mass'': [''C'', ''a'', ''u''], ''velocity'': [''v'', ''a'', ''u''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	E=eV=\frac{Ze^{2}}{a}\,\! (Ionization_energy.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	'r^{2}\dot{\theta}=nab (Kepler''s_laws_of_planetary_motion.html)'	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''n'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	'r=a(1-\varepsilon\cos E). (Kepler''s_laws_of_planetary_motion.html)'	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	'\ \frac{r}{a}=\frac{1-\varepsilon^{2}}{1+\varepsilon\cdot\cos\theta} (Kepler''s_laws_of_planetary_motion.html)'	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	'\ r\cdot(1+\varepsilon\cdot\cos\theta)=a\cdot(1-\varepsilon^{2}) (Kepler''s_laws_of_planetary_motion.html)'	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	'\ r=a\cdot(1-\varepsilon\cdot\cos E). (Kepler''s_laws_of_planetary_motion.html)'	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\operatorname{ker}f:=\{a\in A:f(a)=e_{B}\}\mbox{.}\! (Kernel_(algebra).html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	\sum_{i=1}^{p}a_{i}R(j-i)=-R(j), (Linear_prediction.html)	8	3	'{''force'': [''a''], ''mass'': [''i'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	r=ae^{b\theta}\, (Logarithmic_spiral.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	\theta=\frac{1}{b}\ln(r/a), (Logarithmic_spiral.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r(\theta)=\frac{a(1-e^{2})}{1-e\cos\theta} (Orbit.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	|x|=p_{1}^{a_{1}}\ldots p_{r}^{a_{r}}. (P-adic_number.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r^{2}-2rr_{0}\cos(\varphi-\gamma)+r_{0}^{2}=a^{2}.\, (Polar_coordinate_system.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r=2a\cos(\varphi-\gamma) (Polar_coordinate_system.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\qquad\qquad R=a+bv+cv^{2} (Rail_transport.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''v'', ''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	a=a_{then} (Redshift.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''n'', ''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	p_{x}(a)=r(a)/g(a) (Reed–Solomon_error_correction.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r(a)=p(a)\cdot g(a)+e(a)\,. (Reed–Solomon_error_correction.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	r=\sup_{x\in[a,b]}|f(x)|. (Riemann_integral.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\displaystyle T=r_{a}r_{b}=rr_{c} (Right_triangle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\displaystyle r=s-c=(a+b-c)/2 (Right_triangle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\displaystyle r_{a}=s-b=(a-b+c)/2 (Right_triangle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\displaystyle r_{b}=s-a=(-a+b+c)/2 (Right_triangle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\displaystyle r_{c}=s=(a+b+c)/2 (Right_triangle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\displaystyle m_{a}^{2}+m_{b}^{2}+m_{c}^{2}=6R^{2}. (Right_triangle.html)	8	3	'{''force'': [''a''], ''mass'': [''m'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	r=a\cdot e^{b\theta} (Spiral.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	'R_{k}(x)=o(|x-a|^{k}),\quad x\to a. (Taylor''s_theorem.html)'	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	a=(1/T_{0})-(1/B)\ln(R_{0}) (Thermistor.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	A=a_{ij}e_{i}\otimes e^{j} (Trace_(linear_algebra).html)	8	3	'{''force'': [''a''], ''mass'': [''i'', ''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	\frac{1}{r}=\frac{1}{h_{a}}+\frac{1}{h_{b}}+\frac{1}{h_{c}} (Triangle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	2Rr=\frac{abc}{a+b+c} (Triangle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''R'']}'
centripetal force	0	\alpha:=m^{2}a^{2}/(4M^{2}r_{+}^{2}) (astro-ph0008236.tei)	7	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	b:=ma/(Mr_{+}) (astro-ph0008236.tei)	7	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	F\sim N_{1}N_{2}m_{a}^{2}/r^{2}=m_{1}m_{2}/r^{2}, (astro-ph0309566.tei)	7	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\Omega(a)=\Omega_{m}(a)+\Omega_{r}(a)+\Omega_{X}(a), (astro-ph0503099.tei)	7	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	M_{m}(r)=M_{d}/\sqrt{1+\left(a_{0}/a\right)^{2}} (astro-ph0509576.tei)	7	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	m=\rho\pi r^{2}ar (astro-ph0511085.tei)	7	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	{r}_{2}={\langle|a^{T}_{2m}|^{2}\rangle}/{\langle|a^{S}_{2m}|^{2}\rangle} (astro-ph0602594.tei)	7	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r=n^{2}a_{m}^{\rm B} (astro-ph9803029.tei)	7	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r_{max}=r_{0}/(|\gamma|r_{0}-1) (astro-ph9808345.tei)	7	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r=M+\sqrt{M^{2}-a^{2}\cos^{2}\theta}\,\,, (astro-ph0008236.tei)	7	6	'{''force'': [''a''], ''mass'': [''M'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\alpha:=m^{2}a^{2}/(4M^{2}r_{+}^{2}) (astro-ph0008236.tei)	7	6	'{''force'': [''a''], ''mass'': [''M'', ''m'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	b:=ma/(Mr_{+}) (astro-ph0008236.tei)	7	6	'{''force'': [''a''], ''mass'': [''M'', ''m'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r=a(1-\epsilon\cos{\eta}) (astro-ph0010475.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r=a\cos{\Omega t} (astro-ph0010475.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\dot{r}=-a\Omega\sin{\Omega t} (astro-ph0010475.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r=a(1-e\cos{\eta}) (astro-ph0010475.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	\dot{r}=-ae\sin{\eta}\dot{\eta} (astro-ph0010475.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	g=(GMa_{0})^{1/2}R^{-1} (astro-ph0010475.tei)	7	6	'{''force'': [''a''], ''mass'': [''M'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	g={{GM}/R^{2}}+{{(GMa_{0})^{1/2}}\over R} (astro-ph0010475.tei)	7	6	'{''force'': [''a''], ''mass'': [''M'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	GM/R^{2}=(\theta^{4}/R^{2})a_{0} (astro-ph0010475.tei)	7	6	'{''force'': [''a''], ''mass'': [''M'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	\vec{g}=a_{0}I^{-1}(g_{N}/a_{0})\vec{e}_{N} (astro-ph0010475.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	\displaystyle\psi=-{CM\over ar} (astro-ph0010591.tei)	7	6	'{''force'': [''a''], ''mass'': [''C'', ''M'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	A_{k}^{\prime\prime}+(k^{2}+2e^{2}a^{2}\sigma^{2})A_{k}=0. (astro-ph0010628.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	H={\kappa_{5}^{2}\over 6}\rho_{\rm r}\sim a^{-4}, (astro-ph0012313.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\ddot{R}+3H\dot{R}+V^{\prime}(R)={Q^{2}\over a^{6}R^{3}} (astro-ph0105318.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	R(t)=2\pi\frac{a(t)}{k} (astro-ph0109388.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	e^{2U^{\prime}}=e^{2U}[(1+\Omega a)^{2}-\Omega^{2}W^{2}e^{-4U}], (astro-ph0111080.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	a(u,t)=e^{-bu} (astro-ph0202066.tei)	7	6	'{''force'': [''a''], ''mass'': [''a'', ''u''], ''velocity'': [''e'', ''a'', ''u''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	a(u)=n(u)=e^{-2bu} (astro-ph0202066.tei)	7	6	'{''force'': [''a''], ''mass'': [''a'', ''u''], ''velocity'': [''n'', ''e'', ''a'', ''u''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	R-2\Lambda_{\rm b}+K_{ab}K^{ab}-K^{2}=0\,, (astro-ph0202346.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	R^{a}{}_{b}=3H^{2}h^{a}{}_{b} (astro-ph0202346.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	R^{a}{}_{b}=h^{a}{}_{b}/k^{2} (astro-ph0202346.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	R_{ab}=\Lambda h_{ab}\,. (astro-ph0202346.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	D_{\mu}=\partial_{\mu}+ie_{0}a_{\mu} (astro-ph0309273.tei)	7	6	'{''force'': [''a''], ''mass'': [''i'', ''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	a_{Kerr}=0.7M_{Kerr} (astro-ph0202469.tei)	7	6	'{''force'': [''a''], ''mass'': [''M'', ''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''r'', ''e'']}'
centripetal force	0	{\left(\dot{a}\over a\right)^{2}}={8\over 3}\pi G\rho_{r}, (astro-ph0207347.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\ddot{a}/a=-4\pi G\rho_{r}/3 (astro-ph0207347.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	R_{ab}=\Lambda g_{ab} (astro-ph0209456.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	a=\gamma,N,e^{\pm},\nu (astro-ph0210049.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	\phi=\phi_{start} (astro-ph0302173.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	a(t)=e^{Ht}+b(t) (astro-ph0306630.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	F\sim N_{1}N_{2}m_{a}^{2}/r^{2}=m_{1}m_{2}/r^{2}, (astro-ph0309566.tei)	7	6	'{''force'': [''a'', ''F''], ''mass'': [''m'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	a_{0}=H_{0}\left[9\beta^{2}(r_{g}H_{0})^{1/3}\right]\ . (astro-ph0310005.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	d_{E}=a(\eta)(\eta_{e}-\eta). (astro-ph0310512.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	m_{eff}^{2}=-\frac{2}{a^{2}(\eta_{e}-\eta)^{2}} (astro-ph0310512.tei)	7	6	'{''force'': [''a''], ''mass'': [''m'', ''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	a/k_{*}=|m_{eff}|^{-1} (astro-ph0310512.tei)	7	6	'{''force'': [''a''], ''mass'': [''m'', ''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	\Omega_{rad}=2.47\times 10^{-5}\;h^{-2} (astro-ph0312093.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	\vec{k}_{\rm ph}\propto\vec{k}/a=\vec{k}\,{\rm e}^{-N} (astro-ph0312274.tei)	7	6	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
