Name 	Score	 Formula 	 Mode 	 Identifiers 
four-momentum	0	\det\theta^{c}_{a}=0 (astro-ph0004410.tei)	6	'{''momentum'': [''a'', ''c''], ''energy'': [''a''], ''speed of light'': [''c'']}'
free fall	1	v_{tg}=150 (astro-ph0509576.tei)	4	'[''v'', ''g'', ''t'']'
frequency	0	T^{\prime}_{f}=T_{f^{\prime}} (Distribution_(mathematics).html)	1	'[''f'', ''T'']'
frequency	0	f=f(y+1) (Ambiguity.html)	2	'{''frequency'': [''f''], ''period'': [''y'']}'
frequency	0	a(\overline{y})=1-a(y) (Abductive_reasoning.html)	3	'{''frequency'': [''a''], ''period'': [''y'']}'
frequency	0	f(y)=y (astro-ph0403694.tei)	5	'{''frequency'': [''f''], ''period'': [''y'']}'
frequency	0	f_{i}=1 (astro-ph0307316.tei)	6	'{''frequency'': [''f''], ''period'': [''i'']}'
gravitational acceleration	1	r=M+\sqrt{M^{2}-a^{2}\cos^{2}\theta}\,\,, (astro-ph0008236.tei)	6	'{''gravitational acceleration'': [''a''], ''gravitational constant'': [''M''], ''mass'': [''M'', ''a''], ''radius'': [''r''], ''position vector'': [''a'']}'
gravitational force	2	\vec{F}=-\frac{Gm_{1}m_{2}}{r^{2}}\hat{r} (Force.html)	1	'[''F'', ''G'', ''m'', ''r'']'
gravitational force	0	F(M)=F(I)D(M). (Determinant.html)	3	'{''force'': [''F''], ''gravitational constant'': [''M''], ''mass'': [''M''], ''distance'': [''D'']}'
gravitational force	0	\bar{M}=a(b\,c)^{-3}M (astro-ph0203274.tei)	6	'{''force'': [''a''], ''gravitational constant'': [''M''], ''mass'': [''M'', ''a''], ''distance'': [''b'']}'
gravitational potential	2	U=-\frac{GMm}{r}, (Potential_energy.html)	1	'[''U'', ''G'', ''M'', ''m'', ''r'']'
gravitational potential	2	U=-GMm/r (astro-ph0601247.tei)	4	'[''U'', ''G'', ''M'', ''m'', ''r'']'
kinetic energy	2	E_{\text{k}}=\tfrac{1}{2}mv^{2} (Firearm.html)	2	'{''kinetic energy'': [''E''], ''mass'': [''m''], ''speed'': [''v'']}'
kinetic energy	2	E_{\text{k}}=\tfrac{1}{2}mv^{2} (Firearm.html)	3	'{''kinetic energy'': [''E''], ''mass'': [''m''], ''speed'': [''v'']}'
lorentz force	2	\vec{F}=q(\vec{E}+\vec{v}\times\vec{B}) (Force.html)	1	'[''F'', ''q'', ''E'', ''v'', ''B'']'
mass-energy equivalence	2	E=mc^{2} (List_of_agnostics.html)	1	'[''E'', ''m'', ''c'']'
mass-energy equivalence	2	E=mc^{2} (List_of_agnostics.html)	2	'{''energy'': [''E''], ''mass'': [''m''], ''speed of light'': [''c'']}'
mass-energy equivalence	0	v(ab)=v(a)v(b) (Absolute_value.html)	3	'{''energy'': [''a''], ''mass'': [''a''], ''speed of light'': [''v'']}'
mass-energy equivalence	2	E=m_{\odot}c^{2}, (astro-ph0309566.tei)	4	'[''E'', ''m'', ''c'']'
mass-energy equivalence	2	E=m_{\odot}c^{2}, (astro-ph0309566.tei)	5	'{''energy'': [''E''], ''mass'': [''m''], ''speed of light'': [''c'']}'
mass-energy equivalence	0	\det\theta^{c}_{a}=0 (astro-ph0004410.tei)	6	'{''energy'': [''a''], ''mass'': [''a''], ''speed of light'': [''c'']}'
mechanical impedance	0	0=Z^{3}-Z^{2}+Z\left(A-B-B^{2}\right)-AB\;, (Equation_of_state.html)	1	'[''Z'', ''Z'', ''A'']'
momentum	2	p=mv, (Angular_momentum.html)	1	'[''p'', ''m'', ''v'']'
momentum	0	\sum_{n=1}^{m}(a_{n}+|a_{n}|) (Absolute_convergence.html)	2	'{''momentum'': [''a''], ''mass'': [''m''], ''velocity'': [''a'']}'
momentum	0	\sum_{k=a}^{n-1}2^{k}=2^{n}-\sum_{k=0}^{a-1}2^{k}-1 (2_(number).html)	3	'{''momentum'': [''a''], ''mass'': [''a''], ''velocity'': [''n'', ''a'']}'
momentum	0	\vec{F}=m\vec{a} (astro-ph0010475.tei)	5	'{''momentum'': [''a''], ''mass'': [''m''], ''velocity'': [''a'']}'
momentum	0	\dot{U}_{a}=U_{a;b}U^{a}. (astro-ph0002434.tei)	6	'{''momentum'': [''a''], ''mass'': [''a''], ''velocity'': [''a'']}'
'newton''s second law of motion'	2	\scriptstyle{\vec{F}=m\vec{a}} (Force.html)	1	'[''F'', ''m'', ''a'']'
'newton''s second law of motion'	0	\sum_{n=1}^{m}(a_{n}+|a_{n}|) (Absolute_convergence.html)	2	'{''force'': [''a''], ''mass'': [''m''], ''acceleration'': [''a'']}'
'newton''s second law of motion'	0	\sum_{k=a}^{n-1}2^{k}=2^{n}-\sum_{k=0}^{a-1}2^{k}-1 (2_(number).html)	3	'{''force'': [''a''], ''mass'': [''a''], ''acceleration'': [''a'']}'
'newton''s second law of motion'	2	\vec{F}=m\vec{a} (astro-ph0010475.tei)	4	'[''F'', ''m'', ''a'']'
'newton''s second law of motion'	2	\vec{F}=m\vec{a} (astro-ph0010475.tei)	5	'{''force'': [''a''], ''mass'': [''m''], ''acceleration'': [''a'']}'
'newton''s second law of motion'	0	\dot{U}_{a}=U_{a;b}U^{a}. (astro-ph0002434.tei)	6	'{''force'': [''a''], ''mass'': [''a''], ''acceleration'': [''a'']}'
'newton''s third law of motion'	0	F=\frac{\text{variance between treatments}}{\text{variance within treatments}} (Analysis_of_variance.html)	1	'[''F'']'
'newton''s third law of motion'	0	|a|=\sqrt{a^{2}} (Absolute_value.html)	2	'{''force'': [''a'']}'
'newton''s third law of motion'	0	|a|=\sqrt{a^{2}} (Absolute_value.html)	3	'{''force'': [''a'']}'
'newton''s third law of motion'	0	F=1/2 (astro-ph0112139.tei)	4	'[''F'']'
'newton''s third law of motion'	0	\dot{a}=0 (astro-ph0305457.tei)	5	'{''force'': [''a'']}'
'newton''s third law of motion'	0	\dot{a}=0 (astro-ph0305457.tei)	6	'{''force'': [''a'']}'
rest energy	2	E=mc^{2} (List_of_agnostics.html)	1	'[''E'', ''m'', ''c'']'
rest energy	2	E=m_{\odot}c^{2}, (astro-ph0309566.tei)	4	'[''E'', ''m'', ''c'']'
rest mass	1	\frac{E^{2}}{c^{2}}-p^{2}=m^{2}c^{2} (Dirac_equation.html)	1	'[''m'', ''c'', ''E'', ''p'']'
rest mass	0	s=v_{0}t+\frac{1}{2}at^{2}=\frac{v_{0}+v}{2}t (Acceleration.html)	3	'{''mass'': [''a''], ''speed of light'': [''v''], ''energy'': [''a''], ''momentum'': [''a'']}'
rest mass	1	E^{2}=m^{2}c^{2}+p^{2}c^{4} (astro-ph0212190.tei)	4	'[''m'', ''c'', ''E'', ''p'']'
rest mass	0	a,b,c\ldots=0,1,2,3 (astro-ph0002434.tei)	6	'{''mass'': [''a''], ''speed of light'': [''c''], ''energy'': [''a''], ''momentum'': [''a'', ''c'']}'
speed	1	s=\frac{1}{2}(v_{0}+v)t (List_of_equations_in_classical_mechanics.html)	1	'[''v'', ''s'', ''t'']'
speed of light	0	v(ab)=v(a)v(b) (Absolute_value.html)	3	'{''speed of light'': [''v''], ''frequency'': [''a''], ''wavelength'': [''a'']}'
speed of light	0	\det\theta^{c}_{a}=0 (astro-ph0004410.tei)	6	'{''speed of light'': [''c''], ''frequency'': [''a''], ''wavelength'': [''a'']}'
sphere	2	\textstyle r=|z|=\sqrt{x^{2}+y^{2}}.\, (Complex_number.html)	1	'[''x'', ''y'', ''z'', ''r'']'
sphere	2	r^{2}=x^{2}+y^{2}+z^{2} (astro-ph0601208.tei)	4	'[''x'', ''y'', ''z'', ''r'']'
stress	0	A=\frac{\Delta\sqrt{\Delta}}{6a^{2}},\qquad a\neq 0. (Area.html)	2	'{''stress'': [''a''], ''force'': [''a''], ''area'': [''A'']}'
stress	0	A=\frac{\Delta\sqrt{\Delta}}{6a^{2}},\qquad a\neq 0. (Area.html)	3	'{''stress'': [''a''], ''force'': [''a''], ''area'': [''A'']}'
stress	0	a_{A}=a\propto\eta^{2} (astro-ph0010408.tei)	5	'{''stress'': [''a''], ''force'': [''a''], ''area'': [''A'']}'
stress	0	a_{A}=a\propto\eta^{2} (astro-ph0010408.tei)	6	'{''stress'': [''a''], ''force'': [''a''], ''area'': [''A'']}'
tangential velocity	0	a=r\alpha. (Acceleration.html)	2	'{''velocity'': [''a''], ''angular velocity'': [''a''], ''radius'': [''r'']}'
tangential velocity	0	a_{n}=\tfrac{1}{n}e_{n}, (Absolute_convergence.html)	3	'{''velocity'': [''n'', ''e'', ''a''], ''angular velocity'': [''a''], ''radius'': [''e'']}'
tangential velocity	0	r_{+}:=M+\sqrt{M^{2}-a^{2}}\,\,. (astro-ph0008236.tei)	5	'{''velocity'': [''a''], ''angular velocity'': [''a''], ''radius'': [''r'']}'
tangential velocity	0	a(t)=R(t)/R_{0} (astro-ph0004075.tei)	6	'{''velocity'': [''a''], ''angular velocity'': [''a''], ''radius'': [''R'']}'
uniform motion	1	s=\frac{1}{2}(v_{0}+v)t (List_of_equations_in_classical_mechanics.html)	1	'[''s'', ''v'', ''t'']'
velocity	0	r=r_{0}+\left(\frac{v+v_{0}}{2}\right)t\quad[3]\,\! (Equations_of_motion.html)	1	'[''v'', ''r'', ''t'']'
velocity	1	v=t+r^{*} (astro-ph9905303.tei)	4	'[''v'', ''r'', ''t'']'
wavenumber	0	a_{k}|0\rangle=0 (Antiparticle.html)	2	'{''wavenumber'': [''k''], ''wavelength'': [''a'']}'
wavenumber	0	a_{k}|0\rangle=0 (Antiparticle.html)	3	'{''wavenumber'': [''k''], ''wavelength'': [''a'']}'
wavenumber	1	k^{2}=a^{\prime\prime}/a (astro-ph0106022.tei)	5	'{''wavenumber'': [''k''], ''wavelength'': [''a'']}'
wavenumber	1	k^{2}=a^{\prime\prime}/a (astro-ph0106022.tei)	6	'{''wavenumber'': [''k''], ''wavelength'': [''a'']}'
work	1	W(z)=W_{1}+W_{a}z/(1+z)~{}, (astro-ph0404224.tei)	5	'{''work'': [''W''], ''force'': [''a''], ''position vector'': [''a'']}'
work	1	W(z)=W_{1}+W_{a}z/(1+z)~{}, (astro-ph0404224.tei)	6	'{''work'': [''W''], ''force'': [''a''], ''position vector'': [''a'']}'
